#{"t_start": 1764679826.621898, "env_id": "None"}
r,l,t
-37.755207,6,68.452646
-20.01999,12,68.616175
-15.219891,16,68.844497
-5.242823,19,69.094161
-26.161134,10,69.287191
-24.417829,11,69.468158
-15.503772,16,69.628646
-32.994401,8,69.729161
-36.257861,7,69.899985
1.944561,22,70.197362
-13.706544,17,70.427797
-37.445181,7,70.58581
8.388059,26,70.808985
2.310826,21,71.139934
-34.579701,8,71.267345
-29.933268,9,71.44181
-33.47841,8,71.628858
-40.115809,5,71.741385
-13.710019,15,71.887269
-3.733594,19,72.081153
-25.71878,12,74.735391
-12.857972,18,74.999114
8.227255,21,75.250895
1.336829,20,75.479205
57.657951,39,75.945045
16.895364,31,76.259684
-36.3326,7,76.371855
-25.083527,12,76.538458
-14.177386,17,76.766617
-31.547744,9,76.975531
-25.365546,12,77.200046
-37.841282,6,77.346842
-33.620807,8,77.476588
-33.166061,8,77.642706
-38.050787,6,77.783909
-28.671653,11,77.973566
-28.488788,11,78.14596
-27.785625,11,78.294558
-9.587453,17,78.489224
-39.342764,5,78.649192
-37.619352,6,78.744081
-2.351851,22,79.06613
-15.425994,15,79.217137
-28.385911,10,79.435556
37.09258,34,79.692232
-23.031478,12,79.927369
-39.885945,5,80.063083
-32.937057,8,80.261752
30.327278,28,80.671527
-19.709181,15,80.874151
-32.064601,9,80.994311
-38.356131,6,81.158597
-35.196581,7,81.283319
-27.444133,11,81.525526
13.408745,25,81.910563
4.556842,22,82.200344
11.186175,22,82.397193
-9.274899,17,82.766008
-27.346795,12,82.967411
-33.503182,8,83.105122
-35.088597,7,83.228188
-27.857785,12,83.390934
-24.487253,12,83.61976
2.05194,19,83.792872
-24.892336,11,83.945491
-31.351763,10,84.14706
-14.744263,16,84.391246
-30.403345,10,84.569299
-23.154139,13,84.704645
-5.419695,17,84.908176
-15.459571,15,85.092688
-30.021938,10,85.282345
-7.412675,19,85.571758
-20.233353,14,85.767861
2.123376,19,86.008496
-26.049178,11,86.199706
-31.802058,8,86.362146
-34.000081,8,86.467722
-10.417197,17,86.758703
38.15732,32,87.134228
-25.095637,11,87.325489
-30.079212,10,87.536721
-26.295045,10,87.759793
-30.031098,10,87.965589
1.811636,24,88.213716
-29.950902,10,88.38147
-37.413394,7,88.554409
-34.842833,8,88.739552
-40.166609,5,88.869325
1.919496,21,89.057519
-3.611076,20,89.264961
-27.215219,11,89.403667
-12.049657,16,89.573187
11.476897,26,89.87343
-4.870272,19,90.055583
-41.186194,5,90.171571
-27.187572,12,90.360837
-27.790684,10,90.486063
14.337641,31,90.934157
-13.92149,17,91.092114
-19.659971,16,91.552698
-26.441607,11,91.736746
-38.944527,6,91.856627
1.814513,22,92.090146
-35.572157,7,92.215789
-13.576945,14,92.403452
-31.434725,9,92.536417
11.073245,22,92.866413
-34.777709,8,93.080021
-38.22108,6,93.206737
-40.987268,5,93.356371
-36.970828,7,93.502245
-31.436059,8,93.671348
-27.96217,12,93.835607
-13.811381,17,94.088411
-34.545633,8,94.268484
-37.278098,7,94.40181
-28.453908,11,94.609245
-29.676747,11,94.73054
-16.493175,14,94.985547
-37.900889,6,95.117808
-28.958461,11,95.347548
-32.899639,9,95.478944
-30.987241,10,95.638829
22.601376,25,95.882805
-15.640776,16,96.130892
-31.557552,9,96.287417
-39.334277,6,96.424073
-24.9278,13,96.590498
-20.450043,12,96.786938
-31.969711,9,96.972144
-19.866451,13,97.161797
-38.370903,6,97.261125
-21.518812,14,97.484615
-27.596126,11,97.602172
27.689306,27,97.982926
-4.15224,19,98.235248
-20.890863,12,98.474586
-10.1264,18,98.703219
-39.101845,6,98.807119
-23.669652,13,98.998116
-26.766737,12,99.220962
-15.92407,15,99.439346
-17.229188,14,99.64052
-39.54105,6,99.816004
33.871883,27,100.070718
-40.433245,5,100.172472
-34.079738,8,100.376392
-23.30391,14,100.55263
-8.343408,17,100.733855
-22.149486,12,100.966619
-8.080265,17,101.260632
-30.850751,10,101.433986
11.627775,26,101.839838
-5.446531,16,102.082889
-15.705016,16,102.373432
-30.583139,10,102.680708
-33.090746,8,102.843216
-21.301178,13,103.075818
-0.551136,21,103.406309
-16.935626,13,103.664361
-25.774926,11,103.880747
-27.270721,10,104.034699
-31.710594,10,104.16859
-30.047736,9,104.380271
-13.627571,14,104.541625
-21.735683,13,104.766773
-36.074256,8,104.926505
-37.096881,7,105.069533
17.837111,29,105.306829
-33.340746,9,105.529277
-20.476723,13,105.679753
-15.40197,16,105.88618
-25.145687,11,106.006068
-27.661501,12,106.161382
-32.509934,9,106.289138
51.330663,34,106.609407
-19.247806,13,106.802366
-35.101371,8,106.945152
15.71063,28,107.121571
-38.512982,6,107.305423
-23.905664,11,107.440315
-4.093553,20,107.614663
-30.635821,10,107.741271
-23.323228,13,107.901626
19.996107,26,108.101458
-20.192975,14,108.376378
-22.430117,13,108.539669
-30.529743,10,108.724482
-0.002185,21,109.053882
-38.711421,6,109.198362
-13.904659,16,109.398699
5.86639,27,109.687949
-5.049505,17,109.970671
-27.486248,12,110.128634
-30.3018,9,110.304691
45.365994,36,110.540573
-37.077182,7,110.662731
-42.617756,4,110.8042
-43.186216,4,110.932467
-37.304162,7,111.110639
-37.226911,7,111.257584
32.612099,26,111.680641
12.285992,26,112.025672
-31.569288,9,112.186164
-28.436932,12,112.332562
-22.969535,13,112.580516
-29.507817,10,112.772626
-45.155615,3,112.876876
-12.159118,17,113.139924
-7.218529,17,113.348276
-23.689499,12,113.56285
-37.691424,6,113.700808
13.156098,22,113.910136
9.414666,29,114.148357
-37.841088,6,114.309516
-32.383478,9,114.513608
-27.414217,12,114.658434
-18.94182,14,114.89098
-37.009423,6,115.048307
-35.041945,8,115.260789
-26.238784,12,115.379807
-17.76944,13,115.579914
-24.165068,12,115.727991
-30.257919,9,115.908088
-11.541264,17,116.10741
22.621907,25,116.415394
-39.358998,6,116.544723
-30.391575,10,116.685611
-30.445763,11,116.828129
1.469211,20,117.158712
-37.534675,7,117.355035
-20.754582,14,117.611753
5.626601,24,117.865007
-19.713593,15,117.991464
-35.79411,7,118.164173
-15.742664,18,118.404647
-11.171039,18,118.62993
-8.718015,19,118.814589
-11.717402,16,119.011087
-22.594103,12,119.202859
-39.640758,6,119.341519
16.786547,26,119.714496
-37.563363,6,119.875085
-29.540707,10,120.038819
-28.1717,10,120.197291
